taxonID,scientificNameID,organismQuantity,scientificName,riverNumber
ba38cc06-f5d3-4141-b5bb-9132a048c9fa,402655,1,Melanoides tuberculatus,163
19c0bd2b-6b0d-405c-b626-b9bbba006a0a,313634,3,Corbicula fluminea,173
c9f7a226-9819-4556-bb4d-c22416aa4552,315490,4,Stenomelania tortuosa,163
79fa8a84-6c3d-405d-be36-341788aab5d3,313426,3,Modiolus metcalfei,163
d7b46817-5e43-48a8-a6ff-2e9cb7db3f74,314546,2,Austropeplea ollula,173
479b34c0-a0f1-41b7-a262-2da61387076b,402660,1,Gyraulus spirillus,163
6e2b5d78-0a89-49d7-ba73-8f14007ac762,402653,1,Sinotaia quadrata,163
d57f8f04-1b74-421c-8c85-fb1fa813f930,315489,1,Stenomelania plicaria,163
04f131e8-0372-4782-94cc-bd93f6b3cea9,313904,5,Meretrix lusoria,163
5fe2dfef-50fb-483a-bffc-5c408e8a0bb8,315095,4,Assiminea taiwanensis,173
9149d82c-fbbb-4162-9d2c-6176991c29e9,315085,11,Pomacea canaliculata,173
e7db9038-9388-4b3d-b883-7d4053e8e882,315441,4,Stenothyra formosana,173
5323e024-890a-4df4-9a4f-2605c8e33d41,314551,3,Hippeutis carntori,242
53318470-7425-4b65-bf10-bc51d149d8be,315492,18,Tarebia granifera,163
7f403e9a-5c9c-4b92-bab5-427409bcf83b,314548,2,Physa acuta,242
46f27400-6128-4836-9755-8f598e671e2b,405299,2,Thiara scabra,163
168d2337-ea4a-4303-b364-d2d905cd38ea,402658,1,Radix auricularia,163
