variety_number,record_time,height,fertility_cycle,tillering
Taoyuan3_1,0,15,5,0
Taoyuan3_1,2,36,8,3
Taoyuan3_1,4,50,9,4
Taoyuan3_1,6,60,11,8
Taoyuan3_1,8,66,13,13
Taoyuan3_1,10,100,17,18
Taoyuan3_2,0,17,6,0
Taoyuan3_2,2,35,8,4
Taoyuan3_2,4,54,11,8
Taoyuan3_2,6,73,12,12
Taoyuan3_2,8,79,14,14
Taoyuan3_2,10,107,17,14
Taoyuan3_3,0,18,5,0
Taoyuan3_3,2,34,8,3
Taoyuan3_3,4,51,10,5
Taoyuan3_3,6,76,11,9
Taoyuan3_3,8,78,13,11
Taoyuan3_3,10,98,15,12
Taoyuan3_4,0,16,5,0
Taoyuan3_4,2,37,8,4
Taoyuan3_4,4,53,10,5
Taoyuan3_4,6,68,12,9
Taoyuan3_4,8,79,19,16
Taoyuan3_4,10,109,20,17
Taoyuan3_5,0,15,4,0
Taoyuan3_5,2,35,7,2
Taoyuan3_5,4,49,9,5
Taoyuan3_5,6,68,11,8
Taoyuan3_5,8,78,18,16
Taoyuan3_5,10,103,19,16
Taoyuan3_6,0,11,4,0
Taoyuan3_6,2,25,6,2
Taoyuan3_6,4,50,9,6
Taoyuan3_6,6,65,11,6
Taoyuan3_6,8,75,12,6
Taoyuan3_6,10,104,13,7
Taoyuan3_7,0,10.5,4,0
Taoyuan3_7,2,21,5,2
Taoyuan3_7,4,47,8,4
Taoyuan3_7,6,62,10,6
Taoyuan3_7,8,71,12,7
Taoyuan3_7,10,100,13,8
Taoyuan3_8,0,12,4,0
Taoyuan3_8,2,25,6,2
Taoyuan3_8,4,52,9,4
Taoyuan3_8,6,59,11,7
Taoyuan3_8,8,77,13,9
Taoyuan3_8,10,94,14,10
Taoyuan3_9,0,11.5,4,0
Taoyuan3_9,2,26,6,2
Taoyuan3_9,4,42,9,4
Taoyuan3_9,6,66,11,8
Taoyuan3_9,8,88,12,9
Taoyuan3_9,10,105,12,10
Taoyuan3_10,0,11.5,4,0
Taoyuan3_10,2,8,4,2
Taoyuan3_10,4,32,7,4
Taoyuan3_10,6,67,9,6
Taoyuan3_10,8,72,12,9
Taoyuan3_10,10,88,13,10
Tainan11_1,0,12.5,5,0
Tainan11_1,2,28,7,2
Tainan11_1,4,43,11,5
Tainan11_1,6,78,13,8
Tainan11_1,8,78,15,12
Tainan11_1,10,103,17,17
Tainan11_2,0,13,5,0
Tainan11_2,2,34,7,2
Tainan11_2,4,40,11,4
Tainan11_2,6,76,14,12
Tainan11_2,8,82,16,14
Tainan11_2,10,104,17,14
Tainan11_3,0,12,5,0
Tainan11_3,2,30,7,3
Tainan11_3,4,36,10,3
Tainan11_3,6,65,11,8
Tainan11_3,8,73,14,11
Tainan11_3,10,100,18,15
Tainan11_4,0,14,5,0
Tainan11_4,2,29,7,3
Tainan11_4,4,43,10,5
Tainan11_4,6,78,12,10
Tainan11_4,8,82,15,11
Tainan11_4,10,99,17,13
Tainan11_5,0,13.5,5,0
Tainan11_5,2,20,7,2
Tainan11_5,4,38,9,5
Tainan11_5,6,74,11,10
Tainan11_5,8,87,15,12
Tainan11_5,10,102,18,14
Tainan11_6,0,8,4,0
Tainan11_6,2,26,7,2
Tainan11_6,4,49,10,6
Tainan11_6,6,61,12,6
Tainan11_6,8,73,14,10
Tainan11_6,10,100,15,11
Tainan11_7,0,9,4,0
Tainan11_7,2,20,7,2
Tainan11_7,4,45,9,4
Tainan11_7,6,70,11,5
Tainan11_7,8,79,13,8
Tainan11_7,10,85,14,9
Tainan11_8,0,11,4,0
Tainan11_8,2,20,7,2
Tainan11_8,4,50,9,6
Tainan11_8,6,74,11,6
Tainan11_8,8,81,11,9
Tainan11_8,10,90,12,10
Tainan11_9,0,7,4,0
Tainan11_9,2,23,7,3
Tainan11_9,4,52,10,6
Tainan11_9,6,64,12,8
Tainan11_9,8,78,13,9
Tainan11_9,10,92,14,10
Tainan11_10,0,7,4,0
Tainan11_10,2,16,5,1
Tainan11_10,4,34,7,4
Tainan11_10,6,60,9,6
Tainan11_10,8,72,11,8
Tainan11_10,10,92,12,9
